HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR
Girona,Vallecano,1,3,7,16,2,5,2,4,0,1,1,0
Villarreal,Oviedo,2,0,25,5,10,4,10,1,1,2,0,1
Mallorca,Barcelona,0,3,4,24,1,8,3,6,4,1,2,0
Alaves,Levante,2,1,15,7,4,3,10,1,0,1,0,0
Valencia,Sociedad,1,1,18,13,2,3,8,7,1,2,0,0
Celta,Getafe,0,2,11,10,3,3,9,3,3,2,0,0
Ath Bilbao,Sevilla,3,2,14,12,3,6,10,1,0,2,0,0
Espanol,Ath Madrid,2,1,10,15,5,4,1,3,3,3,0,0
Elche,Betis,1,1,6,12,2,4,1,3,0,1,0,0
Real Madrid,Osasuna,1,0,18,2,5,0,7,0,1,0,0,1
Betis,Alaves,1,0,16,11,5,5,5,2,2,3,0,0
Mallorca,Celta,1,1,12,8,4,2,3,4,3,3,0,0
Ath Madrid,Elche,1,1,13,6,6,2,10,2,0,3,0,0
Levante,Barcelona,2,3,8,26,5,10,0,11,3,1,0,0
Osasuna,Valencia,1,0,16,4,4,1,3,4,2,1,0,1
Sociedad,Espanol,2,2,15,14,7,3,5,2,2,2,0,0
Villarreal,Girona,5,0,19,5,7,2,8,1,1,2,0,0
Oviedo,Real Madrid,0,3,6,26,3,10,1,9,2,1,0,0
Ath Bilbao,Vallecano,1,0,11,6,4,1,3,6,0,4,0,0
Sevilla,Getafe,1,2,12,9,3,6,5,3,2,2,0,0
Celta,Betis,1,1,14,7,5,2,10,4,1,2,0,0
Elche,Levante,2,0,16,11,5,1,4,2,1,2,0,0
Valencia,Getafe,3,0,7,11,4,1,8,6,2,0,0,0
Alaves,Ath Madrid,1,1,5,15,2,6,1,6,2,3,0,0
Oviedo,Sociedad,1,0,8,18,1,6,1,10,2,1,0,0
Girona,Sevilla,0,2,20,13,5,4,11,3,0,2,0,0
Real Madrid,Mallorca,2,1,17,9,7,5,4,5,2,0,0,0
Celta,Villarreal,1,1,10,8,2,3,1,5,1,1,0,0
Betis,Ath Bilbao,1,2,9,15,2,6,4,10,1,4,0,1
Espanol,Osasuna,1,0,10,10,4,3,2,3,2,3,0,0
Vallecano,Barcelona,1,1,12,12,6,3,9,4,4,1,0,0
Sevilla,Elche,2,2,7,5,3,2,2,2,4,3,0,0
Getafe,Oviedo,2,0,10,5,3,1,4,3,2,5,0,1
Sociedad,Real Madrid,1,2,23,16,4,6,12,4,2,1,0,1
Ath Bilbao,Alaves,0,1,12,4,3,2,6,6,4,3,0,0
Ath Madrid,Villarreal,2,0,8,8,3,1,8,3,2,4,0,0
Celta,Girona,1,1,21,13,7,8,10,3,0,3,0,0
Levante,Betis,2,2,5,28,2,9,4,12,3,2,0,0
Osasuna,Vallecano,2,0,9,19,7,6,3,6,3,2,0,0
Barcelona,Valencia,6,0,24,2,10,1,5,4,0,1,0,0
Espanol,Mallorca,3,2,9,24,3,10,3,9,2,1,1,0
Betis,Sociedad,3,1,21,11,6,5,3,5,3,7,0,0
Girona,Levante,0,4,7,14,1,7,5,4,4,3,2,0
Real Madrid,Espanol,2,0,16,8,5,1,5,3,2,0,0,0
Alaves,Sevilla,1,2,8,9,5,3,4,4,1,7,0,0
Villarreal,Osasuna,2,1,26,6,8,3,7,0,2,3,0,1
Valencia,Ath Bilbao,2,0,13,11,5,5,5,6,1,1,0,1
Vallecano,Celta,1,1,15,9,5,5,5,7,1,1,0,0
Mallorca,Ath Madrid,1,1,8,12,3,7,3,6,0,0,0,1
Elche,Oviedo,1,0,15,12,5,4,3,3,2,2,0,0
Barcelona,Getafe,3,0,16,3,7,2,3,2,2,4,0,0
Ath Bilbao,Girona,1,1,17,6,5,3,8,1,0,2,0,0
Espanol,Valencia,2,2,21,5,10,2,8,3,1,4,0,0
Levante,Real Madrid,1,4,11,24,2,10,1,7,1,1,0,0
Sevilla,Villarreal,1,2,16,12,2,5,3,3,2,3,0,0
Getafe,Alaves,1,1,7,10,1,4,2,7,2,3,0,0
Ath Madrid,Vallecano,3,2,20,9,8,3,8,6,3,4,0,0
Sociedad,Mallorca,1,0,17,7,4,3,11,2,2,2,0,0
Osasuna,Elche,1,1,9,12,2,4,2,3,2,2,0,0
Oviedo,Barcelona,1,3,7,22,3,10,6,9,1,0,0,0
Girona,Espanol,0,0,12,20,3,5,8,4,0,1,0,0
Getafe,Levante,1,1,11,11,4,3,6,2,4,3,0,0
Ath Madrid,Real Madrid,5,2,13,6,7,2,7,2,5,4,0,0
Mallorca,Alaves,1,0,12,12,3,3,4,8,2,3,0,0
Villarreal,Ath Bilbao,1,0,14,16,5,4,6,5,2,0,0,0
Vallecano,Sevilla,0,1,18,4,6,1,12,4,3,2,1,0
Elche,Celta,2,1,17,8,8,2,7,2,3,3,0,0
Barcelona,Sociedad,2,1,22,7,12,2,12,1,1,2,0,0
Betis,Osasuna,2,0,12,12,6,1,5,5,0,1,0,0
Valencia,Oviedo,1,2,16,10,5,4,5,4,1,4,0,1
Osasuna,Getafe,2,1,7,6,3,2,1,6,1,4,0,0
Oviedo,Levante,0,2,13,14,2,5,9,3,2,2,0,0
Girona,Valencia,2,1,4,19,4,6,0,7,5,1,2,0
Ath Bilbao,Mallorca,2,1,18,7,5,2,7,2,5,6,0,1
Real Madrid,Villarreal,3,1,26,9,7,2,4,0,2,4,0,1
Alaves,Elche,3,1,25,6,5,3,14,4,3,1,0,1
Sevilla,Barcelona,4,1,13,17,5,8,7,6,7,5,0,0
Espanol,Betis,1,2,14,12,5,3,10,5,2,6,0,0
Sociedad,Vallecano,0,1,10,7,3,2,7,5,1,2,0,0
Celta,Ath Madrid,1,1,18,6,4,1,6,3,1,3,0,1
Oviedo,Espanol,0,2,13,19,4,10,3,5,2,1,0,0
Sevilla,Mallorca,1,3,13,7,4,6,9,2,2,1,0,0
Barcelona,Girona,2,1,27,11,9,4,11,5,1,2,0,0
Villarreal,Betis,2,2,7,16,3,3,5,6,1,1,0,0
Ath Madrid,Osasuna,1,0,18,9,9,2,4,2,1,3,0,0
Elche,Ath Bilbao,0,0,15,4,5,1,6,2,2,3,0,0
Celta,Sociedad,1,1,4,17,1,7,1,10,4,3,1,0
Levante,Vallecano,0,3,17,10,4,5,11,4,0,1,0,0
Getafe,Real Madrid,0,1,7,23,1,10,1,4,4,1,2,0
Alaves,Valencia,0,0,13,5,3,2,7,0,1,2,0,0
Sociedad,Sevilla,2,1,5,6,3,1,1,9,1,3,0,0
Girona,Oviedo,3,3,8,10,6,5,11,4,4,3,0,0
Espanol,Elche,1,0,16,13,7,4,4,2,4,2,0,0
Ath Bilbao,Getafe,0,1,7,8,4,3,1,5,1,3,0,0
Valencia,Villarreal,0,2,15,12,3,5,7,5,2,4,0,0
Mallorca,Levante,1,1,20,13,4,5,5,4,3,2,0,0
Real Madrid,Barcelona,2,1,23,15,10,6,12,4,5,5,1,1
Osasuna,Celta,2,3,17,11,7,5,6,2,3,4,0,0
Vallecano,Alaves,1,0,15,12,5,2,7,5,1,3,0,0
Betis,Ath Madrid,0,2,17,9,5,4,2,5,2,1,0,0
Getafe,Girona,2,1,12,8,4,4,8,3,1,1,0,0
Villarreal,Vallecano,4,0,16,13,7,3,3,5,1,1,0,0
Ath Madrid,Sevilla,3,0,15,10,6,2,9,4,0,3,0,0
Sociedad,Ath Bilbao,3,2,9,11,5,4,6,2,2,3,0,0
Real Madrid,Valencia,4,0,21,4,11,1,7,1,1,1,0,0
Levante,Celta,1,2,9,20,3,6,4,4,2,3,1,0
Alaves,Espanol,2,1,13,18,4,2,1,6,4,2,1,0
Barcelona,Elche,3,1,17,9,5,3,6,3,0,1,0,0
Betis,Mallorca,3,0,15,14,8,1,4,5,0,3,0,0
Oviedo,Osasuna,0,0,8,11,2,5,4,2,3,1,0,0
Elche,Sociedad,1,1,12,13,3,5,1,3,1,3,0,0
Girona,Alaves,1,0,10,14,2,5,6,1,0,3,0,0
Sevilla,Osasuna,1,0,10,9,4,3,5,6,5,3,0,0
Ath Madrid,Levante,3,1,25,6,10,3,21,4,3,1,0,0
Espanol,Villarreal,0,2,14,9,3,3,4,2,0,2,0,0
Ath Bilbao,Oviedo,1,0,21,5,7,2,7,4,1,1,0,0
Vallecano,Real Madrid,0,0,13,21,2,5,5,8,3,2,0,0
Mallorca,Getafe,1,0,6,14,4,3,1,14,0,2,0,0
Valencia,Betis,1,1,17,9,4,2,7,2,3,3,0,0
Celta,Barcelona,2,4,5,21,3,9,2,5,1,5,0,1
Valencia,Levante,1,0,14,8,3,1,7,0,4,3,0,0
Alaves,Celta,0,1,5,7,2,4,4,2,2,2,0,0
Barcelona,Ath Bilbao,4,0,19,13,7,2,5,7,0,2,0,1
Osasuna,Sociedad,1,3,14,19,4,9,3,3,3,2,1,0
Villarreal,Mallorca,2,1,14,9,7,3,3,1,2,2,0,0
Oviedo,Vallecano,0,0,8,11,3,3,5,6,1,2,1,1
Betis,Girona,1,1,23,11,7,4,8,0,3,4,1,0
Getafe,Ath Madrid,0,1,9,13,1,6,6,7,2,3,0,0
Elche,Real Madrid,2,2,15,20,6,7,2,8,4,0,1,0
Espanol,Sevilla,2,1,8,22,5,6,4,13,4,1,0,0
Getafe,Elche,1,0,15,9,6,4,3,5,2,2,0,0
Mallorca,Osasuna,2,2,7,14,4,2,2,8,3,4,0,0
Barcelona,Alaves,3,1,18,9,6,2,5,4,2,3,0,0
Levante,Ath Bilbao,0,2,11,14,4,4,4,2,3,2,0,0
Ath Madrid,Oviedo,2,0,14,12,8,1,7,2,0,1,0,0
Sociedad,Villarreal,2,3,18,10,7,5,8,2,3,7,0,0
Sevilla,Betis,0,2,9,9,3,4,6,4,2,3,1,0
Celta,Espanol,0,1,11,9,4,2,4,3,1,2,0,0
Girona,Real Madrid,1,1,10,25,4,4,2,5,3,0,0,0
Vallecano,Valencia,1,1,19,10,7,2,10,5,1,1,0,0
Barcelona,Ath Madrid,3,1,19,7,6,2,5,4,1,1,0,0
Ath Bilbao,Real Madrid,0,3,9,13,4,8,5,7,2,0,0,0
Oviedo,Mallorca,0,0,15,13,3,6,8,5,2,1,2,0
Villarreal,Getafe,2,0,10,6,5,0,5,3,2,4,0,1
Alaves,Sociedad,1,0,14,10,3,1,5,8,2,2,0,0
Betis,Barcelona,3,5,17,16,5,8,7,7,5,2,0,0
Ath Bilbao,Ath Madrid,1,0,14,7,3,3,5,6,3,2,0,0
Elche,Girona,3,0,11,8,6,4,2,2,0,3,0,0
Valencia,Sevilla,1,1,11,4,3,1,2,2,3,6,0,0
Espanol,Vallecano,1,0,9,6,2,2,6,2,4,8,1,1
Real Madrid,Celta,0,2,23,7,7,5,8,1,6,1,3,0
Osasuna,Levante,2,0,14,11,6,5,3,3,2,2,0,0
Sociedad,Girona,1,2,9,14,4,3,4,3,1,2,0,0
Ath Madrid,Valencia,2,1,10,13,6,2,5,7,3,1,0,0
Mallorca,Elche,3,1,15,9,8,0,1,1,3,0,0,0
Barcelona,Osasuna,2,0,24,3,7,2,14,1,0,3,0,0
Getafe,Espanol,0,1,11,6,1,4,6,4,5,1,0,0
Sevilla,Oviedo,4,0,13,5,7,1,5,3,1,2,0,1
Celta,Ath Bilbao,2,0,5,14,2,2,1,4,3,2,0,0
Alaves,Real Madrid,1,2,6,13,2,6,5,7,3,1,0,0
Vallecano,Betis,0,0,23,13,7,6,8,3,4,1,0,0
Valencia,Mallorca,1,1,17,4,2,2,12,3,2,3,0,0
Oviedo,Celta,0,0,10,6,3,2,4,3,2,1,0,0
Levante,Sociedad,1,1,13,18,3,6,7,10,6,2,0,0
Osasuna,Alaves,3,0,16,7,7,3,9,0,2,2,0,0
Real Madrid,Sevilla,2,0,18,14,8,5,6,5,2,5,0,1
Girona,Ath Madrid,0,3,9,14,2,6,3,4,2,0,0,0
Villarreal,Barcelona,0,2,14,19,5,5,5,10,1,1,1,0
Elche,Vallecano,4,0,18,18,6,8,4,5,2,3,0,0
Betis,Getafe,4,0,19,15,8,3,7,5,0,1,0,0
Ath Bilbao,Espanol,1,2,17,10,7,5,8,4,5,2,0,0
Vallecano,Getafe,1,1,13,12,4,4,3,2,3,4,0,0
Celta,Valencia,4,1,12,16,6,5,2,4,1,3,0,0
Osasuna,Ath Bilbao,1,1,11,16,4,6,1,9,3,3,0,0
Elche,Villarreal,1,3,15,12,2,4,6,2,3,3,0,0
Espanol,Barcelona,0,2,14,15,7,6,5,7,1,0,0,0
Sevilla,Levante,0,3,15,6,7,4,5,1,3,4,0,0
Real Madrid,Betis,5,1,19,13,9,5,5,8,1,1,0,0
Alaves,Oviedo,1,1,18,18,7,6,6,7,3,3,1,1
Mallorca,Girona,1,2,9,9,2,4,3,6,2,1,0,0
Sociedad,Ath Madrid,1,1,18,10,8,2,6,6,3,2,0,0
Getafe,Sociedad,1,2,6,12,3,5,2,4,2,1,0,0
Oviedo,Betis,1,1,13,15,3,6,5,2,3,1,0,0
Villarreal,Alaves,3,1,11,16,4,5,1,6,0,2,0,0
Girona,Osasuna,1,0,8,13,4,1,2,1,2,6,1,0
Valencia,Elche,1,1,16,5,4,1,8,6,2,3,0,0
Vallecano,Mallorca,2,1,14,9,5,2,6,5,1,5,1,0
Levante,Espanol,1,1,8,19,2,3,4,3,0,1,0,0
Sevilla,Celta,0,1,7,9,2,7,6,1,3,3,0,0
Espanol,Girona,0,2,14,7,2,4,5,4,5,5,0,0
Real Madrid,Levante,2,0,26,10,11,0,8,0,2,1,0,0
Mallorca,Ath Bilbao,3,2,18,21,9,11,3,7,1,5,0,2
Osasuna,Oviedo,3,2,16,13,5,5,3,6,1,4,1,0
Betis,Villarreal,2,0,15,9,6,3,2,3,3,2,0,1
Getafe,Valencia,0,1,14,7,3,1,9,3,2,3,0,1
Ath Madrid,Alaves,1,0,23,8,6,0,6,6,1,1,0,0
Celta,Vallecano,3,0,11,14,7,3,5,7,4,3,0,1
Sociedad,Barcelona,2,1,8,25,6,9,6,8,3,3,1,0
Elche,Sevilla,2,2,10,25,5,8,9,7,3,1,0,0
Levante,Elche,3,2,26,6,6,3,9,1,2,3,0,0
Vallecano,Osasuna,1,3,11,14,4,5,4,3,2,2,0,0
Valencia,Espanol,3,2,10,16,5,6,2,7,1,5,0,0
Sevilla,Ath Bilbao,2,1,10,15,7,3,5,5,2,1,0,0
Villarreal,Real Madrid,0,2,8,14,1,4,6,6,3,1,0,0
Ath Madrid,Mallorca,3,0,17,6,8,1,10,3,2,1,0,0
Barcelona,Oviedo,3,0,15,12,7,3,10,1,1,2,0,0
Sociedad,Celta,3,1,10,17,4,4,2,9,1,1,1,0
Alaves,Betis,2,1,17,18,9,4,6,4,1,1,0,0
Girona,Getafe,1,1,12,8,4,2,3,4,5,3,0,0
Espanol,Alaves,1,2,10,11,3,7,4,2,0,1,0,0
Oviedo,Girona,1,0,8,9,4,1,4,4,1,1,0,0
Osasuna,Villarreal,2,2,15,5,5,4,6,2,2,2,0,0
Levante,Ath Madrid,0,0,10,10,2,4,4,7,2,1,0,0
Elche,Barcelona,1,3,9,30,3,8,2,8,2,1,0,0
Real Madrid,Vallecano,2,1,16,11,6,4,9,4,2,8,0,2
Betis,Valencia,2,1,14,15,2,4,3,5,0,4,0,0
Getafe,Celta,0,0,9,5,2,1,5,3,1,2,0,0
Ath Bilbao,Sociedad,1,1,19,9,4,6,6,3,4,2,0,1
Mallorca,Sevilla,4,1,11,15,7,5,4,8,1,1,0,0
Celta,Osasuna,1,2,18,8,4,2,7,3,2,2,0,0
Barcelona,Mallorca,3,0,24,9,7,4,12,3,0,0,0,0
Sociedad,Elche,3,1,11,11,3,5,2,4,0,4,0,0
Alaves,Getafe,0,2,13,17,5,5,6,3,2,5,0,0
Ath Bilbao,Levante,4,2,22,6,7,3,4,3,2,1,0,1
Sevilla,Girona,1,1,11,15,3,6,5,7,3,3,0,0
Ath Madrid,Betis,0,1,10,8,5,4,7,3,3,1,0,0
Valencia,Real Madrid,0,2,7,11,0,6,5,8,1,1,0,0
Villarreal,Espanol,4,1,10,9,3,2,5,8,3,3,0,0
Elche,Osasuna,0,0,17,6,5,2,10,3,2,4,0,0
Espanol,Celta,2,2,9,14,3,5,2,2,1,0,0,0
Getafe,Villarreal,2,1,5,8,2,2,3,4,2,3,0,0
Sevilla,Alaves,1,1,4,12,2,1,0,3,5,0,2,0
Real Madrid,Sociedad,4,1,11,13,5,3,4,6,1,1,0,0
Oviedo,Ath Bilbao,1,2,7,13,1,4,2,3,2,3,0,0
Vallecano,Ath Madrid,3,0,13,9,9,3,4,8,1,3,0,0
Levante,Valencia,0,2,9,5,1,2,3,2,3,2,1,0
Mallorca,Betis,1,2,14,17,3,8,7,3,4,3,0,0
Girona,Barcelona,2,1,13,27,9,4,3,7,1,2,1,0
Levante,Villarreal,0,1,16,15,4,6,3,2,3,4,0,0
Ath Bilbao,Elche,2,1,18,2,8,2,4,1,3,3,0,0
Sociedad,Oviedo,3,3,15,14,8,6,7,6,2,1,0,0
Betis,Vallecano,1,1,14,12,3,3,3,5,4,3,0,0
Osasuna,Real Madrid,2,1,13,15,2,5,3,7,2,4,0,0
Ath Madrid,Espanol,4,2,18,8,9,2,5,3,0,1,0,0
Getafe,Sevilla,0,1,6,6,3,1,2,2,1,1,1,0
Barcelona,Levante,3,0,22,5,9,2,13,6,2,1,0,0
Celta,Mallorca,2,0,20,1,7,0,7,2,1,5,0,0
Villarreal,Valencia,2,1,12,8,5,3,5,4,2,4,0,0
Alaves,Girona,2,2,17,10,6,5,7,6,2,2,0,0
Levante,Alaves,2,0,22,17,5,7,10,6,1,6,0,1
Vallecano,Ath Bilbao,1,1,15,8,7,2,5,4,2,3,0,0
Barcelona,Villarreal,4,1,19,6,8,1,3,2,2,1,0,0
Mallorca,Sociedad,0,1,6,12,1,2,3,7,0,2,0,0
Oviedo,Ath Madrid,0,1,16,12,6,1,8,3,2,2,0,0
Elche,Espanol,2,2,17,9,9,4,3,1,1,6,0,1
Valencia,Osasuna,1,0,14,8,1,0,5,4,3,3,0,0
Betis,Sevilla,2,2,9,14,2,6,4,3,3,3,0,0
Girona,Celta,1,2,15,7,7,5,10,6,2,2,0,0
Real Madrid,Getafe,0,1,18,9,7,3,10,2,4,6,1,1
Vallecano,Oviedo,3,0,19,8,7,2,12,2,0,2,0,0
Celta,Real Madrid,1,2,8,14,4,3,1,6,1,2,0,0
Osasuna,Mallorca,2,2,22,8,5,4,8,0,2,5,1,1
Levante,Girona,1,1,14,22,4,5,2,3,2,2,1,0
Ath Madrid,Sociedad,3,2,24,7,9,3,8,1,1,1,0,0
Ath Bilbao,Barcelona,0,1,10,7,3,2,2,4,2,1,0,0
Villarreal,Elche,2,1,16,13,7,6,4,6,1,2,0,0
Getafe,Betis,2,0,9,14,5,5,3,8,3,2,0,0
Sevilla,Vallecano,1,1,11,9,2,2,6,2,1,3,0,0
Valencia,Alaves,3,2,19,10,8,4,10,2,1,6,0,2
Espanol,Oviedo,1,1,28,6,9,3,8,0,3,2,0,0
Alaves,Villarreal,1,1,8,10,0,4,5,2,4,1,0,0
Girona,Ath Bilbao,3,0,14,20,6,9,2,9,0,2,0,0
Ath Madrid,Getafe,1,0,16,7,5,3,10,3,3,3,0,1
Oviedo,Valencia,1,0,11,13,6,2,4,7,3,2,0,0
Real Madrid,Elche,4,1,14,11,6,1,5,4,1,3,0,0
Mallorca,Espanol,2,1,26,10,12,2,5,6,3,3,0,1
Barcelona,Sevilla,5,2,13,8,8,4,3,4,0,1,0,0
Betis,Celta,1,1,19,7,6,3,3,4,2,3,0,0
Sociedad,Osasuna,3,1,14,13,6,5,3,5,3,0,0,0
Vallecano,Levante,1,1,18,19,4,5,5,6,3,5,1,0
Villarreal,Sociedad,3,1,21,11,10,4,4,5,0,2,0,0
Elche,Mallorca,2,1,13,11,4,4,2,2,2,2,0,0
Espanol,Getafe,1,2,15,10,5,5,12,9,2,7,0,0
Levante,Oviedo,4,2,20,10,8,2,3,1,2,3,0,0
Osasuna,Girona,1,0,19,5,11,0,6,2,2,1,0,0
Sevilla,Valencia,0,2,13,9,2,4,1,3,2,1,0,0
Barcelona,Vallecano,1,0,15,8,4,4,6,9,3,4,0,0
Celta,Alaves,3,4,12,14,5,6,4,1,2,2,0,0
Ath Bilbao,Betis,2,1,11,11,6,3,6,5,1,1,0,0
Real Madrid,Ath Madrid,3,2,17,13,10,7,4,1,1,4,1,0
